sale_id,store_id,sold_at,business_date,sale_type,tender_type,subtotal,discount_total,tax_total,total
1,1,2026-01-02T19:29:03+05:30,2026-01-02,sale,mobile,875.00,0.00,76.25,951.25
2,1,2026-01-02T13:31:23+05:30,2026-01-02,sale,mobile,360.00,0.00,21.60,381.60
3,1,2026-01-02T18:26:44+05:30,2026-01-02,sale,card,290.00,0.00,12.75,302.75
4,1,2026-01-02T21:51:50+05:30,2026-01-02,sale,mobile,89.00,0.00,16.02,105.02
5,1,2026-01-02T10:02:35+05:30,2026-01-02,sale,cash,110.00,0.00,5.50,115.50
6,1,2026-01-02T10:44:22+05:30,2026-01-02,sale,cash,2128.00,0.00,150.65,2278.65
7,1,2026-01-02T15:40:40+05:30,2026-01-02,sale,mobile,660.00,0.00,47.30,707.30
8,1,2026-01-02T17:01:53+05:30,2026-01-02,sale,card,1395.00,0.00,69.75,1464.75
9,1,2026-01-02T19:34:24+05:30,2026-01-02,sale,card,499.00,0.00,24.95,523.95
10,1,2026-01-02T08:03:16+05:30,2026-01-02,sale,mobile,904.00,0.00,45.20,949.20
11,1,2026-01-02T19:44:43+05:30,2026-01-02,sale,card,978.00,0.00,54.10,1032.10
12,1,2026-01-02T17:36:06+05:30,2026-01-02,sale,mobile,805.00,0.00,44.80,849.80
13,1,2026-01-02T17:23:01+05:30,2026-01-02,sale,cash,80.00,0.00,0.00,80.00
14,1,2026-01-02T18:56:52+05:30,2026-01-02,sale,mobile,545.00,0.00,27.25,572.25
15,1,2026-01-02T20:27:56+05:30,2026-01-02,sale,card,1436.00,0.00,71.80,1507.80
16,1,2026-01-02T11:34:25+05:30,2026-01-02,sale,mobile,109.00,0.00,15.72,124.72
17,1,2026-01-02T11:10:13+05:30,2026-01-02,sale,mobile,325.00,0.00,16.25,341.25
18,1,2026-01-02T11:12:23+05:30,2026-01-02,sale,mobile,359.00,0.00,17.95,376.95
19,1,2026-01-02T13:55:35+05:30,2026-01-02,sale,mobile,785.00,0.00,39.25,824.25
20,1,2026-01-02T09:42:01+05:30,2026-01-02,sale,card,3143.00,0.00,290.15,3433.15
21,1,2026-01-02T20:30:14+05:30,2026-01-02,sale,cash,945.00,0.00,89.25,1034.25
22,1,2026-01-02T15:32:39+05:30,2026-01-02,sale,cash,577.00,0.00,49.90,626.90
23,1,2026-01-02T18:26:52+05:30,2026-01-02,sale,cash,500.00,0.00,44.50,544.50
24,1,2026-01-02T17:17:16+05:30,2026-01-02,sale,mobile,545.00,0.00,27.25,572.25
25,1,2026-01-02T18:58:16+05:30,2026-01-02,sale,cash,1083.00,0.00,41.15,1124.15
26,1,2026-01-02T20:18:16+05:30,2026-01-02,sale,mobile,299.00,0.00,43.20,342.20
27,1,2026-01-02T17:59:26+05:30,2026-01-02,sale,cash,645.00,0.00,66.95,711.95
28,1,2026-01-02T11:46:38+05:30,2026-01-02,sale,mobile,2247.00,0.00,119.90,2366.90
29,1,2026-01-02T17:18:12+05:30,2026-01-02,sale,mobile,803.00,0.00,46.65,849.65
30,1,2026-01-02T09:24:54+05:30,2026-01-02,sale,card,400.00,0.00,20.00,420.00
31,1,2026-01-02T11:43:37+05:30,2026-01-02,sale,mobile,59.00,0.00,23.60,82.60
32,1,2026-01-02T20:11:20+05:30,2026-01-02,sale,cash,558.00,0.00,25.90,583.90
33,1,2026-01-02T19:10:35+05:30,2026-01-02,sale,mobile,1040.00,0.00,52.00,1092.00
34,1,2026-01-02T15:04:45+05:30,2026-01-02,sale,cash,719.00,0.00,57.35,776.35
35,1,2026-01-02T09:44:56+05:30,2026-01-02,sale,mobile,310.00,0.00,15.50,325.50
36,1,2026-01-02T20:25:21+05:30,2026-01-02,sale,mobile,1974.00,0.00,98.70,2072.70
37,1,2026-01-02T19:33:01+05:30,2026-01-02,sale,mobile,1235.00,0.00,61.75,1296.75
38,1,2026-01-02T18:25:45+05:30,2026-01-02,sale,mobile,600.00,0.00,30.00,630.00
39,1,2026-01-02T17:41:36+05:30,2026-01-02,sale,card,1140.00,0.00,57.00,1197.00
40,1,2026-01-02T17:49:56+05:30,2026-01-02,sale,card,285.00,0.00,51.30,336.30
41,1,2026-01-02T11:48:57+05:30,2026-01-02,sale,cash,554.00,0.00,50.95,604.95
42,1,2026-01-02T10:44:17+05:30,2026-01-02,sale,mobile,105.00,0.00,18.90,123.90
43,1,2026-01-02T16:34:35+05:30,2026-01-02,sale,mobile,707.00,0.00,76.94,783.94
44,1,2026-01-02T20:21:15+05:30,2026-01-02,sale,mobile,618.00,0.00,55.60,673.60
45,1,2026-01-02T21:22:39+05:30,2026-01-02,sale,cash,225.00,0.00,11.25,236.25
46,1,2026-01-02T19:52:48+05:30,2026-01-02,sale,mobile,1582.00,0.00,93.75,1675.75
