movement_id,store_id,product_id,business_date,movement_type,quantity,reference_type,reference_id,note
1,1,1,2026-01-02,count_correction,34,,,Opening stock count
2,1,2,2026-01-02,count_correction,198,,,Opening stock count
3,1,3,2026-01-02,count_correction,5,,,Opening stock count
4,1,4,2026-01-02,count_correction,5,,,Opening stock count
5,1,5,2026-01-02,count_correction,13,,,Opening stock count
6,1,6,2026-01-02,count_correction,84,,,Opening stock count
7,1,7,2026-01-02,count_correction,15,,,Opening stock count
8,1,8,2026-01-02,count_correction,77,,,Opening stock count
9,1,9,2026-01-02,count_correction,8,,,Opening stock count
10,1,10,2026-01-02,count_correction,26,,,Opening stock count
11,1,11,2026-01-02,count_correction,13,,,Opening stock count
12,1,12,2026-01-02,count_correction,6,,,Opening stock count
13,1,13,2026-01-02,count_correction,66,,,Opening stock count
14,1,14,2026-01-02,count_correction,6,,,Opening stock count
15,1,15,2026-01-02,count_correction,34,,,Opening stock count
16,1,16,2026-01-02,count_correction,17,,,Opening stock count
17,1,17,2026-01-02,count_correction,46,,,Opening stock count
18,1,18,2026-01-02,count_correction,18,,,Opening stock count
19,1,19,2026-01-02,count_correction,15,,,Opening stock count
20,1,20,2026-01-02,count_correction,2,,,Opening stock count
21,1,21,2026-01-02,count_correction,12,,,Opening stock count
22,1,22,2026-01-02,count_correction,6,,,Opening stock count
23,1,23,2026-01-02,count_correction,13,,,Opening stock count
24,1,24,2026-01-02,count_correction,28,,,Opening stock count
25,1,25,2026-01-02,count_correction,124,,,Opening stock count
26,1,26,2026-01-02,count_correction,29,,,Opening stock count
27,1,27,2026-01-02,count_correction,13,,,Opening stock count
28,1,28,2026-01-02,count_correction,4,,,Opening stock count
29,1,29,2026-01-02,count_correction,14,,,Opening stock count
30,1,30,2026-01-02,count_correction,10,,,Opening stock count
31,1,31,2026-01-02,count_correction,6,,,Opening stock count
32,1,32,2026-01-02,count_correction,42,,,Opening stock count
33,1,33,2026-01-02,count_correction,3,,,Opening stock count
34,1,34,2026-01-02,count_correction,16,,,Opening stock count
35,1,35,2026-01-02,count_correction,4,,,Opening stock count
36,1,36,2026-01-02,count_correction,25,,,Opening stock count
37,1,37,2026-01-02,count_correction,10,,,Opening stock count
38,1,38,2026-01-02,count_correction,3,,,Opening stock count
39,1,39,2026-01-02,count_correction,3,,,Opening stock count
40,1,40,2026-01-02,count_correction,35,,,Opening stock count
41,1,41,2026-01-02,count_correction,4,,,Opening stock count
42,1,42,2026-01-02,count_correction,13,,,Opening stock count
