movement_id,store_id,product_id,business_date,movement_type,quantity,reference_type,reference_id,note
1,1,1,2026-01-02,count_correction,37,,,Opening stock count
2,1,2,2026-01-02,count_correction,218,,,Opening stock count
3,1,3,2026-01-02,count_correction,5,,,Opening stock count
4,1,4,2026-01-02,count_correction,4,,,Opening stock count
5,1,5,2026-01-02,count_correction,14,,,Opening stock count
6,1,6,2026-01-02,count_correction,92,,,Opening stock count
7,1,7,2026-01-02,count_correction,17,,,Opening stock count
8,1,8,2026-01-02,count_correction,85,,,Opening stock count
9,1,9,2026-01-02,count_correction,54,,,Opening stock count
10,1,10,2026-01-02,count_correction,11,,,Opening stock count
11,1,11,2026-01-02,count_correction,32,,,Opening stock count
12,1,12,2026-01-02,count_correction,5,,,Opening stock count
13,1,13,2026-01-02,count_correction,23,,,Opening stock count
14,1,14,2026-01-02,count_correction,7,,,Opening stock count
15,1,15,2026-01-02,count_correction,37,,,Opening stock count
16,1,16,2026-01-02,count_correction,19,,,Opening stock count
17,1,17,2026-01-02,count_correction,51,,,Opening stock count
18,1,18,2026-01-02,count_correction,19,,,Opening stock count
19,1,19,2026-01-02,count_correction,16,,,Opening stock count
20,1,20,2026-01-02,count_correction,2,,,Opening stock count
21,1,21,2026-01-02,count_correction,13,,,Opening stock count
22,1,22,2026-01-02,count_correction,7,,,Opening stock count
23,1,23,2026-01-02,count_correction,23,,,Opening stock count
24,1,24,2026-01-02,count_correction,11,,,Opening stock count
25,1,25,2026-01-02,count_correction,14,,,Opening stock count
26,1,26,2026-01-02,count_correction,24,,,Opening stock count
27,1,27,2026-01-02,count_correction,34,,,Opening stock count
28,1,28,2026-01-02,count_correction,4,,,Opening stock count
29,1,29,2026-01-02,count_correction,7,,,Opening stock count
30,1,30,2026-01-02,count_correction,23,,,Opening stock count
31,1,31,2026-01-02,count_correction,12,,,Opening stock count
32,1,32,2026-01-02,count_correction,4,,,Opening stock count
33,1,33,2026-01-02,count_correction,49,,,Opening stock count
34,1,34,2026-01-02,count_correction,9,,,Opening stock count
35,1,35,2026-01-02,count_correction,38,,,Opening stock count
36,1,36,2026-01-02,count_correction,140,,,Opening stock count
37,1,37,2026-01-02,count_correction,6,,,Opening stock count
38,1,38,2026-01-02,count_correction,28,,,Opening stock count
39,1,39,2026-01-02,count_correction,28,,,Opening stock count
40,1,40,2026-01-02,count_correction,24,,,Opening stock count
41,1,41,2026-01-02,count_correction,10,,,Opening stock count
42,1,42,2026-01-02,count_correction,18,,,Opening stock count
43,1,43,2026-01-02,count_correction,29,,,Opening stock count
44,1,44,2026-01-02,count_correction,74,,,Opening stock count
45,1,45,2026-01-02,count_correction,39,,,Opening stock count
46,1,46,2026-01-02,count_correction,4,,,Opening stock count
47,1,47,2026-01-02,count_correction,25,,,Opening stock count
48,1,48,2026-01-02,count_correction,108,,,Opening stock count
49,1,49,2026-01-02,count_correction,3,,,Opening stock count
50,1,50,2026-01-02,count_correction,7,,,Opening stock count
51,1,51,2026-01-02,count_correction,27,,,Opening stock count
52,1,52,2026-01-02,count_correction,5,,,Opening stock count
53,1,53,2026-01-02,count_correction,123,,,Opening stock count
54,1,54,2026-01-02,count_correction,48,,,Opening stock count
55,1,55,2026-01-02,count_correction,17,,,Opening stock count
56,1,56,2026-01-02,count_correction,69,,,Opening stock count
57,1,57,2026-01-02,count_correction,92,,,Opening stock count
58,1,58,2026-01-02,count_correction,22,,,Opening stock count
59,1,59,2026-01-02,count_correction,28,,,Opening stock count
60,1,60,2026-01-02,count_correction,7,,,Opening stock count
61,1,61,2026-01-02,count_correction,12,,,Opening stock count
62,1,62,2026-01-02,count_correction,11,,,Opening stock count
63,1,63,2026-01-02,count_correction,52,,,Opening stock count
