supplier_terms_id,supplier_id,payment_terms_days,lead_time_days,min_order_value,volume_discount_pct,returns_window_days,effective_from,effective_to,source,source_note,supersedes_id
1,1,14,10,8000.00,0.00,14,2025-08-09,2026-03-08,seed,,
2,1,30,10,15000.00,3.00,28,2026-03-08,,seed,,1
3,2,30,7,25000.00,0.00,28,2025-07-11,2026-02-21,seed,,
4,2,60,5,20000.00,1.00,14,2026-02-21,,seed,,3
5,3,30,2,12000.00,1.50,28,2024-12-19,2026-05-01,seed,,
6,3,30,2,15000.00,3.00,28,2026-05-01,,seed,,5
7,4,30,9,15000.00,0.00,28,2024-08-06,2026-05-03,seed,,
8,4,60,7,15000.00,0.00,28,2026-05-03,,seed,,7
9,5,45,9,8000.00,0.00,28,2025-07-31,2026-04-21,seed,,
10,5,60,7,15000.00,2.00,28,2026-04-21,,seed,,9
11,6,30,5,25000.00,2.50,28,2025-09-15,2026-02-26,seed,,
12,6,45,3,15000.00,1.00,30,2026-04-15,,seed,,11
13,7,14,3,12000.00,2.50,28,2024-10-10,2026-02-23,seed,,
14,7,45,2,20000.00,2.00,14,2026-02-23,,seed,,13
15,8,14,10,8000.00,1.50,30,2025-04-30,2026-03-23,seed,,
16,8,60,10,10000.00,3.00,30,2026-03-23,,seed,,15
17,9,30,11,12000.00,1.50,28,2024-09-15,2026-04-13,seed,,
18,9,60,10,30000.00,2.00,14,2026-04-13,,seed,,17
19,10,30,7,15000.00,0.00,28,2024-10-09,2026-03-11,seed,,
20,10,45,5,30000.00,0.00,30,2026-03-11,,seed,,19
21,11,14,8,8000.00,2.50,28,2024-05-09,2025-12-27,seed,,
22,11,30,7,10000.00,2.00,28,2026-03-15,,seed,,21
23,12,14,5,12000.00,0.00,30,2025-09-27,2026-04-29,seed,,
24,12,30,5,15000.00,3.00,30,2026-04-29,,seed,,23
