sale_id,store_id,business_date,user_id
1,1,2026-01-02,4
2,1,2026-01-02,5
3,1,2026-01-02,6
4,1,2026-01-02,4
5,1,2026-01-02,5
6,1,2026-01-02,2
7,1,2026-01-02,5
8,1,2026-01-02,3
9,1,2026-01-02,6
10,1,2026-01-02,7
11,1,2026-01-02,6
12,1,2026-01-02,8
13,1,2026-01-02,5
14,1,2026-01-02,5
15,1,2026-01-02,2
16,1,2026-01-02,4
17,1,2026-01-02,3
18,1,2026-01-02,8
19,1,2026-01-02,6
20,1,2026-01-02,8
21,1,2026-01-02,2
22,1,2026-01-02,7
23,1,2026-01-02,8
24,1,2026-01-02,5
25,1,2026-01-02,4
26,1,2026-01-02,6
27,1,2026-01-02,3
28,1,2026-01-02,8
29,1,2026-01-02,7
30,1,2026-01-02,6
31,1,2026-01-02,4
32,1,2026-01-02,8
33,1,2026-01-02,2
34,1,2026-01-02,5
35,1,2026-01-02,3
36,1,2026-01-02,4
37,1,2026-01-02,4
38,1,2026-01-02,7
39,1,2026-01-02,4
40,1,2026-01-02,8
41,1,2026-01-02,6
42,1,2026-01-02,7
43,1,2026-01-02,5
44,1,2026-01-02,8
45,1,2026-01-02,3
46,1,2026-01-02,3
47,1,2026-01-02,3
48,1,2026-01-02,5
49,1,2026-01-02,5
50,1,2026-01-02,4
51,1,2026-01-02,3
52,1,2026-01-02,3
53,1,2026-01-02,6
54,1,2026-01-02,6
55,1,2026-01-02,5
56,1,2026-01-02,7
57,1,2026-01-02,8
58,1,2026-01-02,4
59,1,2026-01-02,3
60,1,2026-01-02,4
61,1,2026-01-02,3
62,1,2026-01-02,7
63,1,2026-01-02,3
64,1,2026-01-02,3
65,1,2026-01-02,3
66,1,2026-01-02,6
67,1,2026-01-02,3
68,1,2026-01-02,8
69,1,2026-01-02,7
70,1,2026-01-02,5
71,1,2026-01-02,5
72,1,2026-01-02,4
73,1,2026-01-02,8
74,1,2026-01-02,5
75,1,2026-01-02,5
76,1,2026-01-02,7
77,1,2026-01-02,3
78,1,2026-01-02,7
79,1,2026-01-02,3
80,1,2026-01-02,7
81,1,2026-01-02,7
82,1,2026-01-02,7
83,1,2026-01-02,5
84,1,2026-01-02,2
85,1,2026-01-02,8
86,1,2026-01-02,7
87,1,2026-01-02,2
88,1,2026-01-02,3
89,1,2026-01-02,5
90,1,2026-01-02,3
91,1,2026-01-02,2
92,1,2026-01-02,3
93,1,2026-01-02,5
94,1,2026-01-02,3
95,1,2026-01-02,5
96,1,2026-01-02,2
97,1,2026-01-02,3
98,1,2026-01-02,2
99,1,2026-01-02,7
100,1,2026-01-02,2
101,1,2026-01-02,6
102,1,2026-01-02,4
103,1,2026-01-02,5
104,1,2026-01-02,4
105,1,2026-01-02,6
106,1,2026-01-02,7
107,1,2026-01-02,8
108,1,2026-01-02,6
109,1,2026-01-02,7
110,1,2026-01-02,2
111,1,2026-01-02,8
112,1,2026-01-02,7
113,1,2026-01-02,5
114,1,2026-01-02,3
115,1,2026-01-02,2
116,1,2026-01-02,4
117,1,2026-01-02,8
118,1,2026-01-02,5
119,1,2026-01-02,3
120,1,2026-01-02,8
121,1,2026-01-02,3
122,1,2026-01-03,2
123,1,2026-01-03,2
124,1,2026-01-03,5
125,1,2026-01-03,5
126,1,2026-01-03,3
127,1,2026-01-03,6
128,1,2026-01-03,4
129,1,2026-01-03,8
130,1,2026-01-03,6
131,1,2026-01-03,2
132,1,2026-01-03,7
133,1,2026-01-03,5
134,1,2026-01-03,6
135,1,2026-01-03,4
136,1,2026-01-03,2
137,1,2026-01-03,3
138,1,2026-01-03,7
139,1,2026-01-03,8
140,1,2026-01-03,7
141,1,2026-01-03,2
142,1,2026-01-03,5
143,1,2026-01-03,8
144,1,2026-01-03,2
145,1,2026-01-03,7
146,1,2026-01-03,3
147,1,2026-01-03,5
148,1,2026-01-03,3
149,1,2026-01-03,6
150,1,2026-01-03,4
151,1,2026-01-03,2
152,1,2026-01-03,5
153,1,2026-01-03,2
154,1,2026-01-03,7
155,1,2026-01-03,4
156,1,2026-01-03,3
157,1,2026-01-03,4
158,1,2026-01-03,6
159,1,2026-01-03,8
160,1,2026-01-03,5
161,1,2026-01-03,8
162,1,2026-01-03,8
163,1,2026-01-03,8
164,1,2026-01-03,8
165,1,2026-01-03,6
166,1,2026-01-03,7
167,1,2026-01-03,6
168,1,2026-01-03,7
169,1,2026-01-03,8
170,1,2026-01-03,2
171,1,2026-01-03,8
172,1,2026-01-03,7
173,1,2026-01-03,7
174,1,2026-01-03,7
175,1,2026-01-03,2
176,1,2026-01-03,2
177,1,2026-01-03,2
178,1,2026-01-03,4
179,1,2026-01-03,5
180,1,2026-01-03,4
181,1,2026-01-03,4
182,1,2026-01-03,7
183,1,2026-01-03,2
184,1,2026-01-03,4
185,1,2026-01-03,7
186,1,2026-01-03,5
187,1,2026-01-03,5
188,1,2026-01-03,3
189,1,2026-01-03,4
190,1,2026-01-03,6
191,1,2026-01-03,2
192,1,2026-01-03,7
193,1,2026-01-03,6
194,1,2026-01-03,2
195,1,2026-01-03,4
196,1,2026-01-03,7
197,1,2026-01-03,3
198,1,2026-01-03,2
199,1,2026-01-03,6
200,1,2026-01-03,5
201,1,2026-01-03,8
202,1,2026-01-03,2
203,1,2026-01-03,8
204,1,2026-01-03,6
205,1,2026-01-03,7
206,1,2026-01-03,8
207,1,2026-01-03,3
208,1,2026-01-03,3
209,1,2026-01-03,4
210,1,2026-01-03,2
211,1,2026-01-03,8
212,1,2026-01-03,5
213,1,2026-01-03,5
214,1,2026-01-03,5
215,1,2026-01-03,2
216,1,2026-01-03,8
217,1,2026-01-03,5
218,1,2026-01-03,3
219,1,2026-01-03,8
220,1,2026-01-03,2
221,1,2026-01-03,5
222,1,2026-01-03,5
223,1,2026-01-03,3
224,1,2026-01-03,6
225,1,2026-01-03,5
226,1,2026-01-03,3
227,1,2026-01-03,6
228,1,2026-01-03,3
229,1,2026-01-03,2
230,1,2026-01-03,2
231,1,2026-01-03,2
232,1,2026-01-03,7
233,1,2026-01-03,5
234,1,2026-01-03,5
235,1,2026-01-03,7
236,1,2026-01-03,7
237,1,2026-01-03,4
238,1,2026-01-03,5
239,1,2026-01-03,3
240,1,2026-01-03,7
241,1,2026-01-03,6
242,1,2026-01-03,4
243,1,2026-01-03,3
244,1,2026-01-03,7
245,1,2026-01-03,5
246,1,2026-01-03,8
247,1,2026-01-03,2
248,1,2026-01-03,2
249,1,2026-01-03,8
250,1,2026-01-04,8
